Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,CreditScoreBins,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
42.0,2,0.0,1,1,1,0.021886493995386117,1,1,True,False,False,True,False
41.0,1,83807.86,1,0,1,0.21653375188734025,0,1,False,False,True,True,False
42.0,8,159660.8,3,1,0,0.24068690006348814,1,0,True,False,False,True,False
38.91,1,0.0,2,0,0,-0.10891791702847127,0,2,True,False,False,True,False
43.0,2,125510.82,1,1,1,-0.36527578251440274,0,4,False,False,True,True,False
44.0,8,113755.78,2,1,0,0.8636502870218095,1,1,False,False,True,False,True
50.0,7,0.0,2,1,1,-1.5654872211931183,0,4,True,False,False,False,True
29.0,4,115046.74,4,1,0,0.33485372981012046,1,0,False,True,False,True,False
44.0,4,142051.07,2,0,1,-0.4373288460949081,0,0,True,False,False,False,True
27.0,2,134603.88,1,1,1,-0.49323048409247083,0,2,True,False,False,False,True
31.0,6,102016.72,2,0,0,-0.34619970089236274,0,0,True,False,False,False,True
24.0,3,0.0,2,1,0,-0.412123315592307,0,0,False,False,True,False,True
34.0,10,0.0,2,1,0,-1.283817056739873,0,0,True,False,False,True,False
25.0,5,0.0,2,0,0,1.5783569986897874,0,0,True,False,False,True,False
35.0,7,0.0,2,1,1,-0.5936359656444845,0,1,False,False,True,True,False
45.0,3,143129.41,2,0,1,-0.6218824846013182,0,1,False,True,False,False,True
58.0,1,132602.88,1,1,0,-1.651825870574206,1,1,False,True,False,False,True
24.0,9,0.0,2,1,1,-1.4899561835690913,0,0,False,False,True,True,False
45.0,6,0.0,1,0,0,1.0189010247747559,0,1,False,False,True,False,True
24.0,6,0.0,2,1,1,-0.7888730584424746,0,2,True,False,False,True,False
41.0,8,0.0,2,1,1,1.2310704831801604,0,2,True,False,False,False,True
32.0,8,0.0,2,1,0,0.6688717421740601,0,1,False,False,True,True,False
38.0,4,0.0,1,1,0,0.32731820632749364,1,0,False,False,True,True,False
46.0,3,0.0,2,0,1,-1.5928757668520803,0,1,True,False,False,False,True
38.0,5,0.0,1,1,1,1.5219882921316075,0,4,True,False,False,True,False
25.0,3,0.0,2,0,1,0.42460549226186645,0,0,True,False,False,False,True
36.0,2,136815.64,1,1,1,1.2163903409521621,0,3,False,True,False,False,True
44.0,9,0.0,2,0,0,-1.0721517054667205,0,0,True,False,False,False,True
43.0,3,141349.43,1,1,1,0.001690039053891126,0,0,False,True,False,True,False
38.91,0,59697.17,2,1,1,-0.8104496783748915,0,0,True,False,False,False,True
39.0,3,0.0,3,1,0,0.7021528985231289,1,1,False,False,True,True,False
38.91,7,85311.7,1,0,1,0.9849420451757676,0,0,True,False,False,False,True
41.0,9,110112.54,2,0,0,-0.31633078816391447,0,0,False,True,False,False,True
38.91,6,0.0,2,1,1,-1.1421041777545031,0,0,False,False,True,True,False
29.0,9,0.0,2,1,1,0.7293439051333712,0,2,False,False,True,True,False
38.91,0,134264.04,1,1,0,-1.2566552636509198,1,0,True,False,False,False,True
31.0,3,145260.23,1,0,1,0.2430378929672636,0,0,False,False,True,False,True
33.0,7,76548.6,1,0,1,-0.028462140497060744,0,4,False,False,True,False,True
36.0,7,0.0,1,1,1,-1.030773708690248,0,4,True,False,False,False,True
38.91,6,70349.48,2,0,1,1.3560603601273575,0,1,False,True,False,False,True
40.0,4,0.0,1,1,0,-0.5205574726887156,0,0,False,False,True,False,True
51.0,8,122522.32,1,0,0,1.4121157168917053,1,0,True,False,False,True,False
61.0,2,117419.35,1,1,1,-0.10322823597732225,0,0,True,False,False,True,False
49.0,2,131394.56,1,0,0,1.6393570917124016,1,4,True,False,False,True,False
38.91,5,155931.11,1,1,1,1.0128771271288544,0,1,False,False,True,True,False
32.0,4,109421.13,2,1,1,0.45954295093404635,0,3,False,True,False,True,False
27.0,9,112045.67,1,1,1,0.3411368974574667,1,4,False,True,False,True,False
39.0,9,137843.8,1,1,1,0.3048737013667674,1,1,False,True,False,True,False
38.0,2,103391.38,1,0,1,-0.16018938579165296,0,0,False,True,False,False,True
37.0,2,103769.22,2,1,0,1.6347204885477364,0,3,False,True,False,True,False
44.0,10,116363.37,2,1,0,1.7035816271473465,0,2,False,True,False,False,True
36.0,5,146050.97,2,0,0,-0.23763234405007433,0,1,False,True,False,False,True
33.0,5,0.0,2,0,0,0.2936645775819838,0,3,True,False,False,True,False
41.0,8,125561.97,1,0,0,1.1120387734559636,1,1,False,True,False,False,True
42.0,1,98495.72,1,1,0,-1.0446525657628767,1,1,False,True,False,False,True
43.0,1,125211.92,1,1,1,0.23162583954352245,0,1,True,False,False,False,True
45.0,5,127864.4,1,1,0,-0.22575565652582366,0,1,True,False,False,False,True
19.0,0,75888.2,1,0,0,-0.947291724355257,0,2,False,True,False,False,True
66.0,4,0.0,1,1,0,-1.7118972170658242,1,0,False,False,True,True,False
51.0,4,40685.92,1,1,1,-0.9270938782937008,0,1,True,False,False,False,True
35.0,5,136857.0,1,0,0,-0.27093228051997187,0,3,False,True,False,False,True
27.0,9,152328.88,2,0,0,0.45914926395666855,0,2,False,True,False,True,False
33.0,1,56084.69,2,0,0,1.3686515616931476,0,0,False,False,True,False,True
56.0,8,78707.16,1,1,1,-0.012031099781775616,0,2,False,False,True,False,True
